date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:46	3831/3831	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:58%20GMT	http://10.66.4.49:8000/gui/index.html	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/index.html	(from )
20:48:47	724/724	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jan%202019%2001:03:59%20GMT	http://10.66.4.49:8000/robots.txt		(from )
20:48:47	11383/11383	---M--	200	added ('OK')	text/javascript	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/extras/browser/ua-parser.js?uiv=1538669642983	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/extras/browser/ua-parserb439.js	(from http://10.66.4.49:8000/gui/index.html)
20:48:47	2447/2447	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/extras/browser/browser.html	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/extras/browser/browser.html	(from http://10.66.4.49:8000/gui/index.html)
20:48:47	2322/2322	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images-ext/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images-ext/favicon/apple-touch-icon.png	(from http://10.66.4.49:8000/gui/index.html)
20:48:48	1049/1049	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images-ext/favicon/favicon-32x32.png	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images-ext/favicon/favicon-32x32.png	(from http://10.66.4.49:8000/gui/index.html)
20:48:48	720/720	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images-ext/favicon/favicon-16x16.png	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images-ext/favicon/favicon-16x16.png	(from http://10.66.4.49:8000/gui/index.html)
20:48:48	769/769	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jan%202019%2001:04:00%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images-ext/favicon/manifest.js?uiv=1538669642983on	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images-ext/favicon/manifest.6fa3f.delayed	(from http://10.66.4.49:8000/gui/index.html)
20:48:48	4081/4081	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images-ext/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images-ext/favicon/safari-pinned-tab.svg	(from http://10.66.4.49:8000/gui/index.html)
20:48:49	28662/28662	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app/assets/styles/includes/css/nutanix-login.min.css?uiv=1538669642983	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app/assets/styles/includes/css/nutanix-login.minb439.css	(from http://10.66.4.49:8000/gui/index.html)
20:48:49	46878/46878	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Oct%202018%2016:15:22%20GMT	http://10.66.4.49:8000/gui/app/assets/styles/thirdparty.min.css?uiv=1538669642983	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app/assets/styles/thirdparty.minb439.css	(from http://10.66.4.49:8000/gui/index.html)
